combos,cv_cnt,oob_score,classifier_score,time-taken
180,10,0.671957672,0.62962963,63.82272434
180,5,0.671957671957672,0.6296296296296297,69.8737952709198
180,6,0.671957671957672,0.6296296296296297,62.15175914764404
180,1,0.671957671957672,0.6296296296296297,80.85548043251038
180,10,0.671957671957672,0.6296296296296297,79.01113820075989
180,0,0.671957671957672,0.6296296296296297,63.788209676742554
180,1,0.671957671957672,0.6296296296296297,58.28403973579407
180,6,0.671957671957672,0.6296296296296297,63.96711778640747
180,9,0.671957671957672,0.6296296296296297,75.16558909416199
180,9,0.671957671957672,0.6296296296296297,80.24937343597412
