max_depth,min_samples_leaf,n_estimators,oob_score,classifier_score,new_md,new_msl,new_ne,fin_oob_score
15,19,15,0.708994709,0.641975309,19,19,13,0.714285714
13,19,14,0.7142857142857143,0.6419753086419753,6,20,14,0.7142857142857143
8,19,15,0.708994708994709,0.6419753086419753,7,19,13,0.7142857142857143
2,14,14,0.6931216931216931,0.6419753086419753,19,20,14,0.7142857142857143
23,19,8,0.6878306878306878,0.6419753086419753,13,20,14,0.7142857142857143
15,10,13,0.671957671957672,0.6419753086419753,18,19,13,0.7142857142857143
17,19,12,0.708994708994709,0.654320987654321,17,19,14,0.7142857142857143
8,15,6,0.671957671957672,0.6296296296296297,6,20,14,0.7142857142857143
7,18,6,0.6825396825396826,0.6049382716049383,9,20,14,0.7142857142857143
22,18,6,0.6825396825396826,0.6049382716049383,19,14,9,0.7037037037037037
13,21,15,0.6984126984126984,0.6296296296296297,12,20,14,0.7142857142857143
16,19,14,0.7142857142857143,0.6419753086419753,3,19,14,0.7142857142857143
4,15,14,0.6984126984126984,0.654320987654321,19,19,13,0.7142857142857143
20,20,15,0.708994708994709,0.6419753086419753,14,19,13,0.7142857142857143
16,19,12,0.708994708994709,0.654320987654321,14,19,14,0.7142857142857143
5,15,11,0.6984126984126984,0.654320987654321,12,19,13,0.7142857142857143
5,19,8,0.6878306878306878,0.6419753086419753,11,19,14,0.7142857142857143
21,20,15,0.708994708994709,0.6419753086419753,10,19,15,0.708994708994709
9,20,14,0.7142857142857143,0.6419753086419753,4,19,14,0.7142857142857143
20,13,15,0.6825396825396826,0.6296296296296297,6,19,13,0.7142857142857143
10,19,13,0.7142857142857143,0.654320987654321,3,19,13,0.7142857142857143
17,19,15,0.708994708994709,0.6419753086419753,10,20,15,0.708994708994709
4,13,10,0.6984126984126984,0.6172839506172839,16,19,14,0.7142857142857143
16,19,14,0.7142857142857143,0.6419753086419753,11,20,14,0.7142857142857143
6,15,14,0.6984126984126984,0.654320987654321,9,19,13,0.7142857142857143
14,13,11,0.6984126984126984,0.6419753086419753,7,19,13,0.7142857142857143
11,14,13,0.671957671957672,0.654320987654321,4,19,15,0.708994708994709
20,15,10,0.6984126984126984,0.654320987654321,19,19,13,0.7142857142857143
4,15,10,0.6984126984126984,0.654320987654321,19,19,14,0.7142857142857143
11,14,9,0.7037037037037037,0.6172839506172839,6,19,14,0.7142857142857143
15,15,12,0.6931216931216931,0.654320987654321,16,19,13,0.7142857142857143
7,21,13,0.708994708994709,0.6419753086419753,14,20,15,0.708994708994709
8,20,14,0.7142857142857143,0.6419753086419753,5,20,14,0.7142857142857143
12,15,11,0.6984126984126984,0.654320987654321,14,19,13,0.7142857142857143
8,22,14,0.6984126984126984,0.6419753086419753,14,20,14,0.7142857142857143
13,13,9,0.6984126984126984,0.6049382716049383,10,19,14,0.7142857142857143
12,19,14,0.7142857142857143,0.6419753086419753,8,20,14,0.7142857142857143
9,13,10,0.6984126984126984,0.6172839506172839,20,20,14,0.7142857142857143
8,19,15,0.708994708994709,0.6419753086419753,10,20,14,0.7142857142857143
7,21,11,0.6984126984126984,0.6419753086419753,13,20,14,0.7142857142857143
13,20,15,0.708994708994709,0.6419753086419753,18,19,14,0.7142857142857143
18,15,11,0.6984126984126984,0.654320987654321,18,19,13,0.7142857142857143
11,19,15,0.708994708994709,0.6419753086419753,8,20,14,0.7142857142857143
9,19,14,0.7142857142857143,0.6419753086419753,4,19,13,0.7142857142857143
6,15,14,0.6984126984126984,0.654320987654321,3,19,14,0.7142857142857143
9,19,15,0.708994708994709,0.6419753086419753,9,19,14,0.7142857142857143
10,14,11,0.6878306878306878,0.654320987654321,14,19,14,0.7142857142857143
22,20,14,0.7142857142857143,0.6419753086419753,10,19,13,0.7142857142857143
9,19,13,0.7142857142857143,0.654320987654321,13,19,14,0.7142857142857143
18,13,13,0.6825396825396826,0.6419753086419753,7,20,14,0.7142857142857143
4,19,13,0.7142857142857143,0.654320987654321,6,20,14,0.7142857142857143
9,3,15,0.6825396825396826,0.6666666666666666,14,19,13,0.7142857142857143
5,14,4,0.656084656084656,0.6296296296296297,8,19,14,0.7142857142857143
4,19,12,0.708994708994709,0.654320987654321,5,19,14,0.7142857142857143
8,14,10,0.6931216931216931,0.6419753086419753,4,20,15,0.708994708994709
